"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"+3V3,+12V1,GND1,GND2,GND3,VBUS1,VSYS1","7","TestPoint","","","","TestPoint:TestPoint_Pad_D2.5mm","~"
"A1","1","RaspberryPi_Pico_W","","","","Module:RaspberryPi_Pico_Common_THT","https://datasheets.raspberrypi.com/picow/pico-w-datasheet.pdf"
"buck_converter_ph_(12to5)1","1","~","","","","Library:BA_Buck_mangled_PH",""
"C1,C5","2","10u","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C2,C4,C11,C12,C13","5","C","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C3,C6","2","C","Nicht bestücken","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C7,C8,C9,C10","4","C_Polarized","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"C14","1","470u","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"C15,C16,C17,C18,C19,C20","6","10n","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"D1,D11","2","1N5817","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf"
"D2,D5,D6,D7,D8,D9,D10","7","BAT46","","","","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85662/bat46.pdf"
"D3,D4","2","D","","","","Diode_THT:D_5KPW_P7.62mm_Vertical_AnodeUp","~"
"H1,H2","2","MountingHole_Pad","","Von Bauteilliste ausgeschlossen","","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~"
"H3,H4,H5,H6","4","MountingHole_Pad","","Von Bauteilliste ausgeschlossen","","MountingHole:MountingHole_4.3mm_M4_Pad_Via","~"
"J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27","20","691103110002","","","","Library:WR-TBL_V3_2pin_691103110002",""
"J11,J12,J13,J14,J16,J17","6","Conn_01x03","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"J15","1","Conn_01x01","","","","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
"J28","1","Conn_01x02","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"Q1,Q2,Q3,Q4","4","BSS138","","","","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BSS138-D.PDF"
"Q5,Q6","2","NMOS","","","","Library:SOT-23_AO3400","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_MOSFETs"
"R1,R2,R3,R4,R5,R6,R7,R8","8","10k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R23,R25,R27,R29,R31,R33,R35,R37","21","R","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"U2","1","NCP1117LPST33T3G","","","","Library:NCP1117_SOT230P700X175-4N",""
"U3","1","SN74LS07","","","","Library:SOIC127P600X175-14N","www.ti.com/lit/ds/symlink/sn74ls07.pdf"
